Question 1,,,,
Lambda: 75.000000,|  Mean: 0.013333,|  Variance: 0.000178,,
Lambda: 75.000000,| EMean: 0.013431,| EVariance: 0.000184,,
Question 3,,,,
ro, E[N], E[T], Pidle, Ploss
0.25,0.320966,0.015129,0.752794,0
0.35,0.545755,0.017218,0.646184,0
0.45,0.882164,0.021542,0.531868,0
0.55,1.268524,0.026127,0.444585,0
0.65,1.872759,0.032843,0.356832,0
0.75,3.053713,0.046635,0.23886,0
0.85,7.16804,0.097941,0.13508,0
0.95,12.179599,0.14669,0.054402,0
Question 4,,,,
1.2,742.957026,7.229302,0.000475,0
Question 6,,,,
ro, E[N], E[T], Pidle, Ploss
0.5,0.913841,0.020964,0.505729,0.0146
0.6,1.148475,0.02329,0.435642,0.032163
0.7,1.484393,0.026094,0.344183,0.059241
0.8,1.903041,0.029733,0.260761,0.10366
0.9,2.199086,0.032504,0.212164,0.150759
1,2.508719,0.034187,0.16076,0.201164
1.1,2.797132,0.036926,0.123103,0.259924
1.2,2.930718,0.037084,0.108421,0.309848
1.3,3.234532,0.040825,0.077737,0.419079
1.4,3.366976,0.041054,0.070085,0.501275
0.5,0.884994,0.020823,0.54181,0
0.6,1.592789,0.030158,0.385009,0.003001
0.7,2.005867,0.032531,0.308917,0.008003
0.8,2.88473,0.042231,0.230966,0.017061
0.9,4.284214,0.056947,0.129109,0.071353
1,4.797931,0.060176,0.105443,0.089509
1.1,5.684611,0.068779,0.053423,0.145441
1.2,6.462298,0.076471,0.043061,0.229979
1.3,7.232575,0.083766,0.017293,0.314326
1.4,7.698971,0.087842,0.009731,0.38706
0.5,0.982955,0.022093,0.499773,0
0.6,1.442067,0.027431,0.412533,0
0.7,2.25385,0.036714,0.306695,0
0.8,3.619455,0.051136,0.200028,0
0.9,6.435517,0.083298,0.116044,0
1,20.036163,0.235004,0.029828,0.032057
1.1,32.663169,0.379275,0.000312,0.112384
1.2,35.22971,0.40667,0,0.210502
1.3,35.525729,0.403132,0.001393,0.268674
1.4,37.527156,0.422371,0.000167,0.399011
0.4,0.642017,0.018718,0.609524,0.006248
0.5,0.85633,0.020997,0.52755,0.012919
0.6,1.270687,0.024692,0.397755,0.030626
0.7,1.574875,0.027295,0.334952,0.0625
0.8,1.855052,0.029324,0.271814,0.102548
0.9,2.226677,0.032581,0.212931,0.138432
1,2.562326,0.035391,0.159535,0.219257
1.1,2.753209,0.03655,0.141408,0.279687
1.2,3.087815,0.039555,0.093759,0.365844
1.3,3.233693,0.039972,0.081556,0.413317
1.4,3.379445,0.040853,0.063971,0.476953
1.5,3.545482,0.042071,0.051196,0.571225
1.6,3.696347,0.044134,0.041046,0.652935
1.7,3.861165,0.046428,0.029295,0.78289
1.8,3.926777,0.046259,0.024997,0.843176
1.9,4.056269,0.047591,0.016607,0.964252
2.2,4.235273,0.049458,0.010417,1.261582
2.4,4.306631,0.049583,0.006612,1.425393
2.6,4.397289,0.050566,0.004813,1.611878
2.8,4.441565,0.049997,0.004203,1.758415
3,4.520154,0.052548,0.002564,2.066241
3.2,4.552767,0.05173,0.001721,2.172323
3.4,4.590434,0.053216,0.002244,2.416396
3.6,4.616835,0.053862,0.001077,2.649125
3.8,4.626174,0.052745,0.001506,2.753418
4,4.660257,0.052506,0.000939,2.959892
4.2,4.687718,0.054014,0.000246,3.259298
4.4,4.703791,0.054007,0.000446,3.419773
4.6,4.708139,0.05352,0.000697,3.550045
4.8,4.738413,0.054168,0.000359,3.788926
5.4,4.763527,0.0546,0.000297,4.38915
5.8,4.791532,0.055721,0.000137,4.866667
6.2,4.815211,0.055231,0.000073,5.208673
6.6,4.817572,0.054724,0.000052,5.493014
7,4.835897,0.055595,0.000147,5.99483
7.4,4.848448,0.055875,0.000031,6.426843
7.8,4.856541,0.055494,0.000044,6.800983
8.2,4.859501,0.055054,0.00007,7.133749
8.6,4.862147,0.054548,0.000094,7.47713
9,4.867429,0.055088,0.000153,7.895034
9.4,4.881079,0.054958,0.000049,8.253602
9.8,4.887739,0.05596,0.000035,8.861229
0.4,0.687354,0.018921,0.583724,0
0.5,1.031404,0.02372,0.506505,0.003645
0.6,1.455515,0.0279,0.407443,0.001338
0.7,1.941777,0.032973,0.317223,0.005708
0.8,2.999858,0.043132,0.199858,0.022306
0.9,4.232511,0.056141,0.129467,0.05751
1,5.124118,0.063898,0.08005,0.107232
1.1,5.912627,0.071158,0.051519,0.16143
1.2,6.5707,0.076905,0.032587,0.225701
1.3,6.939412,0.079606,0.025267,0.276113
1.4,7.851011,0.0912,0.010813,0.44033
1.5,8.10013,0.092703,0.00521,0.492677
1.6,8.353483,0.09662,0.001871,0.606432
1.7,8.575155,0.097481,0.001268,0.693688
1.8,8.753353,0.099583,0.00094,0.798112
1.9,8.855252,0.101132,0.001037,0.899761
2.2,9.182649,0.10454,0.000263,1.191756
2.4,9.27658,0.105346,0,1.379921
2.6,9.380585,0.107134,0.000087,1.600183
2.8,9.435379,0.106768,0,1.769988
3,9.458042,0.106695,0.00034,1.936986
3.2,9.557571,0.110346,0,2.242319
3.4,9.557949,0.108087,0.000169,2.364304
3.6,9.615568,0.109335,0,2.560518
3.8,9.648571,0.110515,0.00006,2.791939
4,9.64997,0.110383,0.000029,3.013247
4.2,9.691669,0.110464,0,3.186304
4.4,9.692166,0.110551,0,3.375456
4.6,9.732686,0.112428,0.0001,3.615198
4.8,9.739195,0.111114,0.000024,3.795006
5.4,9.762085,0.110639,0.000042,4.339599
5.8,9.78625,0.111029,0,4.735928
6.2,9.811754,0.115007,0,5.388967
6.6,9.818865,0.113087,0.000017,5.608611
7,9.82397,0.109642,0,5.811893
7.4,9.841041,0.11179,0.000031,6.334204
7.8,9.849571,0.111585,0.000029,6.724072
8.2,9.858424,0.112936,0.000028,7.241959
8.6,9.866394,0.111129,0.000066,7.455631
9,9.868384,0.111994,0,7.887201
9.4,9.879862,0.114768,0,8.520432
9.8,9.886806,0.114084,0,8.908913
0.4,0.703769,0.019659,0.586912,0
0.5,0.99977,0.022,0.490696,0
0.6,1.495163,0.028438,0.395124,0
0.7,2.416422,0.040128,0.286738,0
0.8,3.931674,0.056546,0.197906,0
0.9,8.863031,0.110243,0.097512,0
1,21.513398,0.255518,0.025843,0.028309
1.1,32.167839,0.369487,0.00021,0.118884
1.2,34.728486,0.397211,0.000094,0.189421
1.3,36.48775,0.422708,0.000349,0.307986
1.4,37.428445,0.426336,0.000565,0.414185
1.5,37.905998,0.438497,0,0.514078
1.6,38.226145,0.433997,0.000503,0.575703
1.7,38.399369,0.439848,0.000201,0.698012
1.8,38.466476,0.434206,0.000186,0.764633
1.9,38.781074,0.43809,0.00048,0.868786
2.2,39.115973,0.44109,0,1.143291
2.4,39.209475,0.442781,0,1.362858
2.6,39.34934,0.454126,0,1.625921
2.8,39.400148,0.452643,0.000041,1.816451
3,39.4327,0.445663,0,1.963485
3.2,39.521228,0.45219,0,2.172185
3.4,39.562195,0.447768,0.000034,2.369902
3.6,39.572584,0.455438,0,2.624282
3.8,39.610904,0.453821,0.00003,2.789305
4,39.639318,0.459138,0,3.062428
4.2,39.675261,0.45641,0.000027,3.221177
4.4,39.678749,0.450561,0.000052,3.3601
4.6,39.671766,0.445833,0.00005,3.501458
4.8,39.703816,0.447383,0.000189,3.677307
5.4,39.751525,0.453779,0.000021,4.342366
5.8,39.770313,0.451163,0.00002,4.755291
6.2,39.790997,0.45099,0.000019,5.145021
6.6,39.798927,0.44925,0,5.480455
7,39.821119,0.456564,0,6.008005
7.4,39.83097,0.453768,0,6.351965
7.8,39.838237,0.454103,0.000029,6.73108
8.2,39.843456,0.457175,0.000028,7.167983
8.6,39.860247,0.45749,0.000013,7.595374
9,39.866866,0.463793,0.000064,8.080557
9.4,39.870096,0.452468,0.000012,8.277916
9.8,39.87948,0.459132,0,8.800965
